GCA_000435975.1	117551/754/2
GCA_000436035.1	117551/765/2
GCA_000436075.1	117551/770/2
GCA_000436095.1	117551/783/2
GCA_000436115.1	117551/789/2
GCA_000436255.1	117551/801/2
GCA_000436335.1	117551/807/2
GCA_000436375.1	117551/819/2
GCA_000436475.1	117551/826/2
GCA_000436495.1	117551/837/2
GCA_000436535.1	117551/582/2
GCA_000436695.1	117551/599/2
GCA_000436735.1	117551/617/2
GCA_000436755.1	117551/635/2
GCA_000436795.1	117551/652/2
GCA_000436835.1	117551/669/2
GCA_000436875.1	117551/686/2
GCA_000436915.1	117551/706/2
GCA_000436975.1	117551/722/2
GCA_000437175.1	117551/740/2
GCA_000437215.1	117551/759/2
GCA_000437235.1	117551/777/2
GCA_000437255.1	117551/795/2
GCA_000437275.1	117551/813/2
GCA_000437315.1	117551/831/2
GCA_000437355.1	117551/564/2
GCA_000437375.1	117551/849/2
GCA_000437395.1	117551/854/2
GCA_000437435.1	117551/867/2
GCA_000437495.1	117551/873/2
GCA_000437515.1	117551/885/2
GCA_000437555.1	117551/890/2
GCA_000437595.1	117551/899/2
GCA_000437635.1	117551/905/2
GCA_000437675.1	117551/916/2
GCA_000437735.1	117551/922/2
GCA_000437755.1	117551/936/2
GCA_000437795.1	117551/942/2
GCA_000437855.1	117551/954/2
GCA_000437895.1	117551/959/2
GCA_000437915.1	117551/971/2
GCA_000438015.1	117551/977/2
GCA_000438075.1	117551/989/2
GCA_000438115.1	117551/995/2
GCA_000438155.1	117551/1007/2
GCA_000438175.1	117551/1013/2
GCA_000438195.1	117551/1025/2
GCA_000438255.1	117551/1032/2
GCA_000438295.1	117551/1044/2
GCA_000438355.1	117551/1050/2
GCA_000438415.1	117551/1061/2
GCA_000438985.1	117550/103/2
GCA_000439025.2	117550/17/2
GCA_000440235.1	117550/1702/2
GCA_000445185.1	117551/1069/2
GCA_000447245.1	117551/1082/2
GCA_000466585.1	117550/1730/2
GCA_000467935.1	117550/1763/2
GCA_000470535.1	117550/1297/2
GCA_000471045.1	117550/1791/2
GCA_000471925.1	117550/1801/2
GCA_000472185.1	117550/1824/2
GCA_000473305.1	117550/1837/2
GCA_000482765.1	117550/1860/2
GCA_000484975.1	117549/1315/2
GCA_000485475.1	117550/109/2
GCA_000485495.1	117550/113/2
GCA_000488855.1	117550/1869/2
GCA_000492175.1	117550/1889/2
GCA_000493945.1	117550/115/2
GCA_000493965.1	117550/119/2
GCA_000494145.1	117549/1323/2
GCA_000494185.1	117549/1331/2
GCA_000494225.1	117550/121/2
GCA_000495505.1	117550/1899/2
GCA_000495735.1	117549/1342/2
GCA_000496135.1	117549/1358/2
GCA_000496175.1	117549/1367/2
GCA_000496195.1	117549/1383/2
GCA_000496215.1	117549/1390/2
GCA_000496235.1	117549/1406/2
GCA_000496475.1	117550/1920/2
GCA_000497405.1	117550/1930/2
GCA_000497835.1	117550/1952/2
GCA_000499765.1	117549/5250/2
GCA_000500915.1	117551/1088/2
GCA_000503195.1	117551/1100/2
GCA_000503835.1	117551/1107/2
GCA_000503875.1	117551/1118/2
GCA_000503915.1	117551/861/2
GCA_000504605.1	117550/125/2
GCA_000504625.1	117550/127/2
GCA_000505065.1	117551/879/2
