GCA_000751835.1	117550/3046/4
GCA_000752035.1	117550/3056/4
GCA_000752215.1	117550/3074/4
GCA_000752675.2	117550/3086/4
GCA_000752995.2	117550/3105/4
GCA_000753435.1	117550/3115/4
GCA_000753455.2	117550/3134/4
GCA_000753575.1	117551/1128/4
GCA_000753945.1	117550/173/4
GCA_000754265.1	117550/3144/4
GCA_000754445.1	117551/1134/4
GCA_000754455.1	117551/1147/4
GCA_000755385.1	117550/3168/4
GCA_000755425.1	117550/3181/4
GCA_000755705.1	117553/235/4
GCA_000756735.1	117550/3207/4
GCA_000756795.1	117550/3215/4
GCA_000758905.1	117550/3238/4
GCA_000759445.1	117550/3248/4
GCA_000759655.1	117550/3270/4
GCA_000759755.1	117550/2822/4
GCA_000761475.1	117550/2853/4
GCA_000761495.1	117550/2884/4
GCA_000762985.1	117550/2917/4
GCA_000767215.1	117550/2948/4
GCA_000768855.1	117550/2975/4
GCA_000769715.1	117551/1153/4
GCA_000770195.1	117551/1164/4
GCA_000770645.1	117551/1170/4
GCA_000771265.1	117550/3005/4
GCA_000773965.1	117553/239/4
GCA_000775715.1	117553/247/4
GCA_000783305.1	117550/3034/4
GCA_000785145.2	117550/175/4
GCA_000786105.1	117551/1180/4
GCA_000789255.1	117549/5294/4
GCA_000798955.1	117550/3064/4
GCA_000799755.1	117553/251/4
GCA_000802045.1	117551/1187/4
GCA_000802095.1	117551/1199/4
GCA_000803105.1	117550/3095/4
GCA_000806015.1	117549/1429/4
GCA_000806115.1	117549/1438/4
GCA_000806155.1	117549/1450/4
GCA_000808095.1	117550/3126/4
GCA_000814665.1	117550/3155/4
GCA_000814675.1	117550/3194/3
GCA_000814905.1	117553/259/4
GCA_000817085.1	117551/1207/4
GCA_000817105.1	117551/1219/4
GCA_000817115.1	117551/1225/4
GCA_000817735.3	117553/263/4
GCA_000824785.1	117550/3227/4
GCA_000824805.1	117550/3258/4
GCA_000824825.2	117550/2789/4
GCA_000824845.1	117550/3294/4
GCA_000825765.1	117553/271/4
GCA_000828075.3	117553/275/4
GCA_000828835.1	117550/3305/4
GCA_000828975.1	117550/3327/4
GCA_000829755.1	117550/3335/4
GCA_000830175.1	117551/1237/4
GCA_000830255.1	117551/1243/4
GCA_000830275.1	117549/1455/4
GCA_000830295.1	117549/1467/4
GCA_000830315.1	117549/1473/4
GCA_000830415.1	117550/3354/4
GCA_000830985.1	117550/3360/3
GCA_000831005.1	117550/3375/4
GCA_000831085.1	117550/3384/4
GCA_000875945.1	117550/3399/4
GCA_000935965.1	117550/3407/4
GCA_000938735.2	117550/3422/4
GCA_000949895.1	117550/3433/4
GCA_000952795.1	117553/283/4
GCA_000952975.1	117550/3448/4
GCA_000953215.1	117550/3457/5
GCA_000953435.1	117550/3471/4
GCA_000953475.1	117550/3479/4
GCA_000953695.1	117550/3496/4
GCA_000953735.1	117550/3506/4
GCA_000954095.1	117550/179/4
GCA_000955785.1	117550/3521/4
GCA_000955795.1	117550/3530/4
GCA_000955875.1	117550/3545/4
GCA_000960885.1	117549/1485/4
GCA_000961575.1	117551/1254/4
GCA_000961585.1	117551/1260/4
GCA_000961595.1	117551/1272/4
GCA_000961635.1	117551/1278/4
GCA_000961645.1	117551/1290/4
GCA_000961655.1	117551/1296/4
GCA_000961695.1	117551/1308/4
GCA_000961725.1	117551/1314/4
GCA_000961745.1	117551/1327/4
GCA_000961765.1	117551/1333/4
GCA_000961795.1	117551/1345/4
GCA_000961805.1	117551/1351/4
GCA_000961845.1	117551/1363/4
GCA_000963515.1	117550/3552/4
GCA_000963575.1	117553/287/4
GCA_000964245.1	117550/3569/4
GCA_000965745.1	117549/1491/4
GCA_000967895.1	117550/3578/4
GCA_000970895.1	117550/181/4
GCA_000972765.1	117550/3593/4
GCA_000974665.1	117550/3601/4
GCA_000980375.1	117551/1369/4
GCA_000980495.1	117551/1380/4
GCA_000980705.1	117551/1386/4
GCA_000980735.1	117551/1398/4
GCA_000981625.1	117551/1141/4
GCA_000981645.1	117551/1159/4
GCA_000981705.1	117551/1175/4
GCA_000985875.1	117550/3617/4
GCA_000985895.1	117550/3626/4
GCA_000987045.1	117551/1193/4
GCA_000987375.1	117551/1213/4
GCA_000987445.1	117551/1231/4
GCA_000989185.1	117551/1249/4
GCA_000989195.1	117551/1266/4
GCA_000989305.1	117551/1284/4
GCA_000989515.1	117551/1302/4
GCA_000989525.1	117551/1321/4
GCA_000989565.1	117551/1339/4
GCA_000989675.1	117551/1357/4
GCA_000989765.1	117551/1374/4
GCA_000989955.1	117551/1393/4
GCA_000990005.1	117551/1125/4
GCA_000990145.1	117551/1410/4
GCA_000990305.1	117551/1417/4
GCA_000990325.1	117551/1428/4
GCA_000990355.1	117551/1434/4
GCA_000990445.1	117551/1446/4
GCA_000990565.1	117551/1452/4
GCA_000990585.1	117551/1465/4
GCA_000990945.1	117551/1470/4
GCA_000991135.1	117551/1482/4
GCA_000991185.1	117551/1488/4
GCA_000991205.1	117551/1500/4
GCA_000991245.1	117551/1506/4
GCA_000991405.1	117551/1518/4
GCA_000991415.1	117551/1524/4
GCA_000991575.1	117551/1536/4
GCA_000991645.1	117551/1542/4
GCA_000991805.1	117551/1554/4
GCA_000992015.1	117551/1560/4
GCA_000992085.1	117551/1572/4
GCA_000992165.1	117551/1578/4
GCA_000992305.1	117551/1590/4
GCA_000992325.1	117551/1596/4
GCA_000992345.1	117551/1604/4
GCA_000992395.1	117551/1612/4
GCA_000992445.2	117551/1623/4
GCA_000992695.1	117551/1629/4
GCA_000993025.1	117551/1642/4
GCA_000993115.1	117551/1646/4
GCA_000993205.1	117551/1660/4
GCA_000993275.1	117551/1665/4
GCA_000993405.1	117551/1677/4
GCA_000993535.1	117551/1422/4
GCA_000993565.1	117551/1440/4
GCA_000993595.1	117551/1458/4
GCA_000993615.1	117551/1476/4
GCA_000993685.1	117551/1494/4
GCA_000993955.1	117551/1512/4
GCA_000994705.1	117551/1530/4
GCA_000994805.1	117551/1548/4
GCA_000994815.1	117551/1566/4
GCA_000995065.1	117551/1584/4
GCA_000995125.1	117551/1600/4
GCA_000995135.1	117551/1618/4
GCA_000995185.1	117551/1634/4
GCA_000995415.1	117551/1652/4
GCA_000995845.1	117551/1671/4
GCA_000995965.1	117551/1404/4
GCA_000996025.1	117551/1689/4
GCA_000996035.1	117551/1695/4
GCA_000996085.1	117551/1707/4
GCA_000996205.1	117551/1712/4
GCA_000996245.1	117551/1727/4
GCA_000996275.1	117551/1733/4
GCA_000996355.1	117551/1745/4
GCA_000996605.1	117551/1751/4
GCA_000996695.1	117551/1762/4
GCA_000996895.1	117551/1768/4
GCA_000997105.1	117551/1779/4
GCA_000997355.1	117551/1785/4
GCA_000997385.1	117551/1797/4
GCA_000997405.1	117551/1803/4
